fecha,Price,Open,High,Low,Vol.,DAY,N10D,GPRD,GPRD_ACT,GPRD_THREAT,GPRD_MA30,GPRD_MA7,event,GPRC_CHN,GPRC_EGY,GPRC_ISR,GPRC_RUS,GPRC_SAU,GPRC_USA,GPRC_VEN,barcos_panamá,barcos_suez,precio_objetivo,fecha_objetivo,Price_lag1,Price_lag2,Pendiente,Alto-Bajo,Bajo-Alto,Price_lag3,media_col1,desv_col1,skew_col1,kurt_col1,GPRD_Delta,mes,Price_Media_Mes,Price_Media_Mes_Pasado,prediccion
2015-01-01,54.56,53.73,54.85,53.72,,20150101.0,533.0,74.579384,49.566547,82.68679,85.237808,76.920776,nan,0.288981,0.142396,0.51514,0.636596,0.259664,2.102442,0.058634,1079,1362,46.39,2015-01-20,,,,,,,46.144734848484845,7.315731659979924,-0.2579847144424985,0.13022099679637522,,2015-01,47.72608695652174,47.72608695652174,48.206093
2015-01-02,52.69,53.76,55.11,52.03,268.71,20150102.0,620.0,106.857018,117.180916,97.740456,85.851631,75.89756,nan,0.288981,0.142396,0.51514,0.636596,0.259664,2.102442,0.058634,1079,1362,47.78,2015-01-21,54.56,0.8300000000000054,,1.1300000000000026,-1.1300000000000026,-1.8700000000000045,46.144734848484845,7.315731659979924,-0.2579847144424985,0.13022099679637522,32.27763399999999,2015-01,47.72608695652174,47.72608695652174,47.889233
2015-01-05,50.04,52.61,52.73,49.68,375.78,20150105.0,592.0,100.719963,111.566589,74.446053,84.407448,73.633339,nan,0.288981,0.142396,0.51514,0.636596,0.259664,2.102442,0.058634,1079,1362,46.31,2015-01-22,52.69,-1.0700000000000003,1.8700000000000045,3.0799999999999983,-3.0799999999999983,-2.6499999999999986,46.144734848484845,7.315731659979924,-0.2579847144424985,0.13022099679637522,-6.1370549999999895,2015-01,47.72608695652174,47.72608695652174,47.2154
2015-01-06,47.93,50.0,50.37,47.55,451.64,20150106.0,694.0,66.824135,104.686119,31.752205,85.168251,73.234482,nan,0.288981,0.142396,0.51514,0.636596,0.259664,2.102442,0.058634,1079,1362,45.59,2015-01-23,50.04,-2.5700000000000003,2.6499999999999986,3.049999999999997,-3.049999999999997,-2.1099999999999994,46.144734848484845,7.315731659979924,-0.2579847144424985,0.13022099679637522,-33.89582800000001,2015-01,47.72608695652174,47.72608695652174,47.36429
2015-01-07,48.65,48.0,49.31,46.83,460.08,20150107.0,715.0,78.760353,92.374023,61.639248,84.144691,71.092827,nan,0.288981,0.142396,0.51514,0.636596,0.259664,2.102442,0.058634,1079,1362,45.15,2015-01-26,47.93,-2.0700000000000003,2.1099999999999994,2.8200000000000003,-2.8200000000000003,0.7199999999999989,46.144734848484845,7.315731659979924,-0.2579847144424985,0.13022099679637522,11.936217999999997,2015-01,47.72608695652174,47.72608695652174,48.04529
2015-01-08,48.79,48.78,49.65,47.73,362.08,20150108.0,825.0,168.639816,232.166702,133.551697,87.350166,84.530029,nan,0.288981,0.142396,0.51514,0.636596,0.259664,2.102442,0.058634,1079,1362,46.23,2015-01-27,48.65,0.6499999999999986,-0.7199999999999989,2.480000000000004,-2.480000000000004,0.14000000000000057,46.144734848484845,7.315731659979924,-0.2579847144424985,0.13022099679637522,89.879463,2015-01,47.72608695652174,47.72608695652174,48.632298
2015-01-09,48.36,48.92,49.61,47.16,421.01,20150109.0,819.0,64.714386,112.901588,26.906021,85.914207,78.509659,nan,0.288981,0.142396,0.51514,0.636596,0.259664,2.102442,0.058634,1079,1362,44.45,2015-01-28,48.79,0.00999999999999801,-0.14000000000000057,1.9200000000000017,-1.9200000000000017,-0.4299999999999997,46.144734848484845,7.315731659979924,-0.2579847144424985,0.13022099679637522,-103.92542999999999,2015-01,47.72608695652174,47.72608695652174,47.81139
2015-01-12,46.07,48.19,48.19,45.62,394.95,20150112.0,604.0,148.078354,240.570084,91.208733,90.976875,108.840996,nan,0.288981,0.142396,0.51514,0.636596,0.259664,2.102442,0.058634,1079,1362,44.53,2015-01-29,48.36,-0.5600000000000023,0.4299999999999997,2.450000000000003,-2.450000000000003,-2.289999999999999,46.144734848484845,7.315731659979924,-0.2579847144424985,0.13022099679637522,83.36396799999999,2015-01,47.72608695652174,47.72608695652174,48.415253
2015-01-13,45.89,45.69,46.79,44.2,476.54,20150113.0,765.0,151.555389,259.009521,79.214493,93.087234,120.945457,nan,0.288981,0.142396,0.51514,0.636596,0.259664,2.102442,0.058634,1079,1362,48.24,2015-01-30,46.07,-2.1199999999999974,2.289999999999999,2.5700000000000003,-2.5700000000000003,-0.17999999999999972,46.144734848484845,7.315731659979924,-0.2579847144424985,0.13022099679637522,3.4770350000000008,2015-01,47.72608695652174,47.72608695652174,49.71593
2015-01-14,48.48,46.16,48.91,45.01,510.25,20150114.0,787.0,88.391258,151.061447,77.000107,93.801186,122.321304,nan,0.288981,0.142396,0.51514,0.636596,0.259664,2.102442,0.058634,1079,1362,49.57,2015-02-02,45.89,0.20000000000000284,0.17999999999999972,2.5899999999999963,-2.5899999999999963,2.5899999999999963,46.144734848484845,7.315731659979924,-0.2579847144424985,0.13022099679637522,-63.164131,2015-01,47.72608695652174,47.72608695652174,49.8261
